Date,EG,VOL,L_REER,L_WPI,L_CPI,L_IPI,,,,,,,,,
Jan-06,10.187,0.095389019,4.549065335,4.416693727,4.493120682,4.399547248,,,,EG,VOL,L_REER,L_WPI,L_CPI,L_IPI
Feb-06,15.164,0.084161662,4.55950314,4.420874682,4.494238625,4.31756811,,,,,,,,,
Mar-06,9.454,0.078389405,4.579524119,4.426725106,4.508659286,4.432993001,,,Mean,6.435409283,0.169540382,4.506640478,4.532298324,4.719856067,4.622060711
Apr-06,4.801,0.089599,4.579236804,4.423792184,4.508659286,4.411148448,,,Standard Error,0.880505749,0.003699199,0.005236616,0.005190012,0.007551043,0.011186057
May-06,12.415,0.127756327,4.574112862,4.430531044,4.510859507,4.370965687,,,Median,5.124,0.167069261,4.491049187,4.528127141,4.737075257,4.615407604
Jun-06,9.849,0.166478015,4.569418648,4.435188183,4.511957804,4.412107145,,,Mode,#N/A,#N/A,#N/A,4.48081938,4.599152114,4.441426978
Jul-06,15.472,0.152591348,4.565639025,4.43345617,4.514150788,4.445142269,,,Standard Deviation,13.5552137,0.056948442,0.080616681,0.079899215,0.116246834,0.172207155
Aug-06,14.254,0.13018792,4.557470427,4.436242529,4.513054897,4.452543345,,,Sample Variance,183.7438185,0.003243125,0.006499049,0.006383884,0.013513326,0.029655304
Sep-06,10.629,0.101356884,4.562888794,4.438761348,4.515245478,4.437686009,,,Kurtosis,1.801978502,0.248073009,-1.433331562,-0.759386559,-1.091137559,-1.206567449
Oct-06,-3.435,0.101882127,4.565326879,4.438844018,4.515245478,4.420706336,,,Skewness,0.405874228,0.726742748,-0.11040629,-0.219179548,-0.212930263,0.103401733
Nov-06,17.432,0.117323424,4.565566199,4.447919707,4.518522379,4.441426978,,,Range,93.153,0.26690073,0.293200843,0.329092682,0.413634482,0.660174593
Dec-06,5.42,0.11109735,4.580067739,4.454789059,4.519612298,4.463537495,,,Minimum,-30.421,0.078389405,4.345868228,4.339014744,4.493120682,4.288663309
Jan-07,11.07,0.11091173,4.60434985,4.454847171,4.525044142,4.426402307,,,Maximum,62.732,0.345290135,4.639069071,4.668107426,4.906755164,4.948837902
Feb-07,-3.571,0.089052004,4.602396342,4.457574641,4.525044142,4.324913808,,,Sum,1525.192,40.18107044,1068.073793,1074.154703,1118.605888,1095.428388
Mar-07,-5.125,0.114348106,4.596714538,4.462834434,4.523960131,4.448843808,,,Count,237,237,237,237,237,237
Apr-07,0.149,0.11865087,4.601423175,4.4605374,4.523960131,4.414021787,,,,,,,,,
May-07,3.023,0.090813441,4.605240184,4.469590984,4.525044142,4.441426978,,,,,,,,,
Jun-07,-0.079,0.106295878,4.590898833,4.470083298,4.527208645,4.427346499,,,,,,,,,
Jul-07,-0.344,0.151857942,4.579472819,4.474070121,4.53044664,4.457145703,,,,,,,,,
Aug-07,0.849,0.173893375,4.567406012,4.478506585,4.532599493,4.457145703,,,,,,,,,
Sep-07,1.889,0.173402168,4.560559774,4.477325451,4.533674184,4.449778737,,,,,,,,,
Oct-07,13.996,0.166193712,4.574020018,4.485812161,4.534747722,4.454382179,,,,,,,,,
Nov-07,6.083,0.166483955,4.5673437,4.485316258,4.541164856,4.466275867,,,,,,,,,
Dec-07,3.452,0.163666003,4.577994242,4.489647095,4.543294782,4.511595499,,,,,,,,,
Jan-08,10.835,0.162721646,4.587962988,4.496325831,4.547541073,4.519383513,,,,,,,,,
Feb-08,15.579,0.167719887,4.591659324,4.496515361,4.550714,4.419755851,,,,,,,,,
Mar-08,6.163,0.171442904,4.581072147,4.490981931,4.550714,4.479822359,,,,,,,,,
Apr-08,21.264,0.181854026,4.584150819,4.495009278,4.553876892,4.459890046,,,,,,,,,
May-08,23.076,0.183614665,4.574081915,4.481442013,4.562262685,4.466275867,,,,,,,,,
Jun-08,18.975,0.180243744,4.593937333,4.480513581,4.601162165,4.449778737,,,,,,,,,
Jul-08,25.975,0.142770687,4.595877139,4.476961744,4.6121458,4.503746356,,,,,,,,,
Aug-08,11.342,0.191603707,4.592307819,4.468353402,4.614129927,4.475323425,,,,,,,,,
Sep-08,16.075,0.191582227,4.575216006,4.458779321,4.6121458,4.440484204,,,,,,,,,
Oct-08,-3.542,0.211413463,4.58131797,4.444696223,4.608165695,4.428289799,,,,,,,,,
Nov-08,-5.776,0.19589614,4.569004003,4.412871018,4.596129441,4.387822307,,,,,,,,,
Dec-08,-17.03,0.19453439,4.567021698,4.378558126,4.587006215,4.339471368,,,,,,,,,
Jan-09,-30.421,0.190369384,4.564046062,4.348818808,4.585987367,4.325972023,,,,,,,,,
Feb-09,-18.638,0.188405226,4.564868889,4.346036697,4.588024027,4.288663309,,,,,,,,,
Mar-09,-17.91,0.179756366,4.561270544,4.339014744,4.585987367,4.344623269,,,,,,,,,
Apr-09,-26.123,0.203078656,4.561563067,4.342492873,4.58394655,4.336375289,,,,,,,,,
May-09,-29.54,0.225642935,4.562419249,4.351180755,4.585987367,4.348715426,,,,,,,,,
Jun-09,-22.364,0.231139782,4.551959265,4.356696006,4.587006215,4.348715426,,,,,,,,,
Jul-09,-22.308,0.187940735,4.538891485,4.366786085,4.588024027,4.420706336,,,,,,,,,
Aug-09,-19.477,0.221217909,4.53853881,4.372266661,4.589040804,4.401498325,,,,,,,,,
Sep-09,-23.949,0.194659802,4.536869932,4.383787583,4.592084946,4.376951277,,,,,,,,,
Oct-09,3.53,0.187141265,4.553044967,4.387971429,4.593097605,4.437686009,,,,,,,,,
Nov-09,-2.385,0.212078831,4.553181913,4.395103262,4.59511985,4.384860117,,,,,,,,,
Dec-09,21.585,0.181201636,4.551801054,4.400185755,4.597138014,4.412107145,,,,,,,,,
Jan-10,41.955,0.170190975,4.563639607,4.412070756,4.599152114,4.448843808,,,,,,,,,
Feb-10,21.284,0.196955123,4.558958694,4.414457522,4.599152114,4.335341129,,,,,,,,,
Mar-10,39.766,0.199065421,4.582924577,4.427262872,4.599152114,4.476222558,,,,,,,,,
Apr-10,26.019,0.203092464,4.616426594,4.43374109,4.599152114,4.428289799,,,,,,,,,
May-10,21.319,0.261195609,4.61639693,4.443862288,4.601162165,4.470804159,,,,,,,,,
Jun-10,16.346,0.299706763,4.618767324,4.43946973,4.602165677,4.436751534,,,,,,,,,
Jul-10,12.202,0.27860775,4.619911004,4.441332741,4.605170186,4.449778737,,,,,,,,,
Aug-10,9.328,0.207049417,4.627919448,4.444872318,4.608165695,4.441426978,,,,,,,,,
Sep-10,5.322,0.16136087,4.632211258,4.448563158,4.609162207,4.432993001,,,,,,,,,
Oct-10,0.395,0.189580837,4.60878365,4.455404876,4.611152258,4.463537495,,,,,,,,,
Nov-10,5.096,0.200151751,4.603949441,4.461057292,4.613138356,4.426402307,,,,,,,,,
Dec-10,4.628,0.189661388,4.609042678,4.464838581,4.617098757,4.45530033,,,,,,,,,
Jan-11,4.104,0.168135835,4.623599321,4.474366498,4.623010104,4.453463185,,,,,,,,,
Feb-11,7.36,0.16781749,4.624933597,4.472347114,4.627909673,4.378934359,,,,,,,,,
Mar-11,5.124,0.16964744,4.618915288,4.472369955,4.628886713,4.495835116,,,,,,,,,
Apr-11,12.369,0.136441849,4.615407604,4.467309435,4.630837933,4.425445255,,,,,,,,,
May-11,5.861,0.19153799,4.609829315,4.471935892,4.633757643,4.417852168,,,,,,,,,
Jun-11,11.868,0.197967578,4.601864729,4.473556953,4.636668853,4.442357096,,,,,,,,,
Jul-11,7.82,0.180189061,4.607148228,4.478654128,4.638604962,4.447919707,,,,,,,,,
Aug-11,11.038,0.161097121,4.605839962,4.482075569,4.64053733,4.476222558,,,,,,,,,
Sep-11,16.641,0.220330985,4.58992456,4.47945956,4.643428898,4.460803156,,,,,,,,,
Oct-11,15.378,0.274861574,4.579811352,4.475562514,4.644390899,4.490522231,,,,,,,,,
Nov-11,7.948,0.235029469,4.578600312,4.47698448,4.645351976,4.449112689,,,,,,,,,
Dec-11,6.115,0.23874708,4.583783104,4.48081938,4.646312129,4.489579745,,,,,,,,,
Jan-12,0.788,0.20827399,4.59544303,4.480660829,4.649187071,4.47817737,,,,,,,,,
Feb-12,13.754,0.213927276,4.614615439,4.490398861,4.649187071,4.462776784,,,,,,,,,
Mar-12,-0.759,0.199368477,4.611827974,4.486116343,4.649187071,4.52937926,,,,,,,,,
Apr-12,-0.753,0.163260793,4.604840132,4.483770619,4.649187071,4.450094078,,,,,,,,,
May-12,6.461,0.17179135,4.600810697,4.48791701,4.651099118,4.476268062,,,,,,,,,
Jun-12,3.403,0.193020047,4.585671313,4.485135868,4.652053772,4.487692104,,,,,,,,,
Jul-12,-2.691,0.160794808,4.58670067,4.486093814,4.652053772,4.45401003,,,,,,,,,
Aug-12,-5.04,0.169025834,4.596391768,4.48631908,4.65396035,4.482946053,,,,,,,,,
Sep-12,2.124,0.170379092,4.597823263,4.480943937,4.6558633,4.516590307,,,,,,,,,
Oct-12,-3.342,0.16580399,4.601413137,4.48081938,4.657762636,4.555349491,,,,,,,,,
Nov-12,2.633,0.139304931,4.605000172,4.482154735,4.658710953,4.54111155,,,,,,,,,
Dec-12,-5.392,0.139056551,4.602927673,4.484549378,4.658710953,4.523916746,,,,,,,,,
Jan-13,3.568,0.144601382,4.61204649,4.484064135,4.662495253,4.511990735,,,,,,,,,
Feb-13,-7.843,0.183101761,4.595907419,4.483228515,4.664382046,4.418153625,,,,,,,,,
Mar-13,-3.153,0.166371453,4.603098041,4.490084759,4.665324109,4.538410533,,,,,,,,,
Apr-13,-3.524,0.174059011,4.622341904,4.492102267,4.666265285,4.511068276,,,,,,,,,
May-13,-5.556,0.160935945,4.639069071,4.492717917,4.669083512,4.532997263,,,,,,,,,
Jun-13,-7.223,0.238933433,4.596220255,4.491911898,4.670021158,4.523916746,,,,,,,,,
Jul-13,4.441,0.203631588,4.589213553,4.493612731,4.671893818,4.556242512,,,,,,,,,
Aug-13,12.804,0.192018406,4.558728263,4.497417923,4.672828834,4.519350826,,,,,,,,,
Sep-13,5.574,0.239242625,4.574381027,4.501486042,4.681204872,4.538410533,,,,,,,,,
Oct-13,9.74,0.289764196,4.587138589,4.502672236,4.684905154,4.576348812,,,,,,,,,
Nov-13,7.016,0.228794292,4.585589734,4.507700677,4.687671407,4.555349491,,,,,,,,,
Dec-13,14.662,0.181696679,4.576708981,4.508229678,4.69043003,4.574618191,,,,,,,,,
Jan-14,12.217,0.206174696,4.56856844,4.507568382,4.695924549,4.54111155,,,,,,,,,
Feb-14,12.257,0.190959616,4.567187906,4.512616204,4.698660529,4.483894809,,,,,,,,,
Mar-14,8.066,0.169373762,4.57239903,4.513252246,4.699570861,4.582392738,,,,,,,,,
Apr-14,18.556,0.163738297,4.574824374,4.517998796,4.699570861,4.558885381,,,,,,,,,
May-14,16.339,0.1517174,4.580836509,4.516032915,4.700480366,4.591821487,,,,,,,,,
Jun-14,8.038,0.136956431,4.58614026,4.517464022,4.702296897,4.589254196,,,,,,,,,
Jul-14,0.714,0.141970763,4.597410155,4.520494262,4.703203926,4.562398375,,,,,,,,,
Aug-14,1.742,0.16407025,4.602897606,4.513328982,4.705015521,4.583251722,,,,,,,,,
Sep-14,1.927,0.215853681,4.603959453,4.521505928,4.70682384,4.592672413,,,,,,,,,
Oct-14,-3.285,0.198244576,4.600459106,4.521038296,4.712229258,4.627821693,,,,,,,,,
Nov-14,1.895,0.174174451,4.594008121,4.523016084,4.717605615,4.603679075,,,,,,,,,
Dec-14,2.19,0.144781084,4.56509791,4.528321539,4.716711561,4.64574575,,,,,,,,,
Jan-15,-1.689,0.225350323,4.538463984,4.52403605,4.705920089,4.615407604,,,,,,,,,
Feb-15,-10.952,0.265077385,4.533061752,4.525304129,4.699570861,4.508791435,,,,,,,,,
